"Xyleborus obesus","Xyleborus seriatus","Ambrosiodmus obliquus","Xyleborus glabratus"
0.365096213333521,0.848747031262916,0.912437377661916,0.992674255898552
0.362864861532538,0.846997944735148,0.910399777103347,0.992397626935726
0.360664514533016,0.845252363691035,0.908343272288833,0.992113937350236
0.358494490849657,0.843510322920198,0.906268114989518,0.991823095362018
0.356354129625465,0.841771855882267,0.904174559312999,0.991525009421073
0.354242789833121,0.84003699474827,0.902062861593942,0.991219588224502
0.352159849514127,0.838305770440458,0.899933280285138,0.990906740733654
0.350104705053594,0.836578212670637,0.897786075849059,0.990586376191396
0.348076770488701,0.834854349977098,0.895621510649946,0.990258404139479
0.346075476848977,0.833134209760183,0.893439848846495,0.989922734436032
0.34410027152668,0.831417818316575,0.891241356285171,0.98957927727315
0.342150617675633,0.829705200872348,0.889026300394206,0.989227943194593
