"pd","t88","t164","t9","t139","t191","t278","t281","t169","t93","t184","t77","t30","t197","t243","t201","t248","t110","t224","t287","t111","t226","t138","t210","t27","t22","t275","t300","t249","t15","t78","t295","t255","t92","t60","t253","t52","t106","t4","t91","t230","t130","t80","t85","t121","t145","t229","t190","t142","t289"
505,0.112554279365105,0.115858147366689,0.0315288210888431,0.118729535796788,0.118729535796788,0.17914765335759,0.269028084465371,0.152167010835026,0.0334464717937977,0.0357999695701891,0.222975111642571,0.0461708621651474,0.0461708621651473,0.124247720961001,0.217495876741444,0.217495876741444,0.286515976846021,0.200959740220102,0.0427784318113751,0.1011435911654,0.1011435911654,0.119680818464967,0.119680818464966,0.0645560678757145,0.126811748329186,0.136083257675102,0.136083257675102,0.0500946510484091,0.0306454214620508,0.0306454214620508,0.0432372817062079,0.043237281706208,0.0472908096771535,0.0472908096771535,0.034709799953469,0.0347097999534688,0.0972922626462086,0.0972922626462084,0.202734825956211,0.036983880268634,0.0369838802686343,0.0977244335302376,0.0977244335302375,0.0874221336241119,0.0874221336241121,0.08741978790004,0.0874197879000399,0.0516115425360293,0.0516115425360293
506,0.112484891044658,0.115792501790611,0.0314526886812101,0.11867791998016,0.11867791998016,0.179168144009932,0.269185699068667,0.152151016860998,0.0333688629774162,0.0357225994450006,0.223058656806128,0.0460864782390079,0.0460864782390078,0.124197890150238,0.217570984342409,0.217570984342409,0.286711399759771,0.201016874272301,0.0426982284582196,0.101083370988272,0.101083370988272,0.119626331401412,0.119626331401411,0.0644680147771023,0.126764810323634,0.136049236176087,0.136049236176087,0.0500123461392009,0.030569809268137,0.0305698092681371,0.0431569912511366,0.0431569912511366,0.0472063045437786,0.0472063045437786,0.0346313288249086,0.0346313288249085,0.0972302953512008,0.0972302953512006,0.202794632304495,0.0369059106213623,0.0369059106213626,0.0976628671716022,0.0976628671716022,0.087353500454529,0.0873535004545292,0.0873511689298458,0.0873511689298458,0.0515291644038383,0.0515291644038383
507,0.112415676698056,0.115727017796494,0.0313768836434983,0.11862642523096,0.11862642523096,0.179188596113239,0.269343061244814,0.152135055777576,0.0332915804515109,0.0356455423269887,0.223142059596229,0.0460024069390689,0.0460024069390688,0.124148174629693,0.217645962615444,0.217645962615444,0.286906517060258,0.20107390786506,0.0426183263918821,0.101023301202606,0.101023301202606,0.119571973075209,0.119571973075209,0.0643802466887156,0.126717979615282,0.136015288859816,0.136015288859815,0.0499303311469996,0.030494526221343,0.0304945262213431,0.0430770009678521,0.0430770009678521,0.0471221090347839,0.0471221090347839,0.03455318286976,0.0345531828697598,0.0971684852750557,0.0971684852750554,0.202854333922593,0.0368282522321533,0.0368282522321536,0.0976014566150278,0.0976014566150277,0.0872850511076024,0.0872850511076027,0.0872827337356802,0.0872827337356802,0.0514470725786151,0.0514470725786151
508,0.11234663555454,0.11566169467518,0.0313014039562153,0.118575051030337,0.118575051030337,0.179209009815589,0.26950017185429,0.152119127452639,0.0332146222345024,0.0355687963638932,0.223225320528372,0.0459186465220479,0.0459186465220478,0.124098573908716,0.217720812032226,0.217720812032226,0.287101329753163,0.20113084136995,0.0425387239156832,0.100963381142638,0.100963381142638,0.119517742932708,0.119517742932707,0.0642927621520488,0.126671255750211,0.135981415419646,0.135981415419646,0.0498486045060232,0.0304195702738304,0.0304195702738304,0.0429973091712517,0.0429973091712517,0.0470382214360006,0.0470382214360006,0.0344753601328493,0.0344753601328491,0.0971068317159421,0.0971068317159419,0.2029139311969,0.0367509032756499,0.0367509032756501,0.09754020116594,0.0975402011659399,0.087216784738608,0.0872167847386081,0.0872144814730537,0.0872144814730537,0.0513652655271851,0.051365265527185
509,0.112277766848256,0.115596531721994,0.0312262476160711,0.118523796862668,0.118523796862668,0.1792293852642,0.269657031753014,0.152103231754854,0.0331379863605223,0.0354923597178623,0.223308440115189,0.045835195257635,0.0458351952576349,0.124049087499698,0.2177955330618,0.2177955330618,0.287295838838991,0.201187675156443,0.0424594193456678,0.100903610146834,0.100903610146834,0.119463640423709,0.119463640423708,0.0642055597188042,0.126624638277309,0.135947615550803,0.135947615550803,0.0497671646618819,0.0303449393942971,0.0303449393942971,0.0429179141888413,0.0429179141888414,0.0469546400459497,0.0469546400459497,0.0343978586743882,0.034397858674388,0.0970453339765162,0.097045333976516,0.202973424511633,0.0366738619405987,0.036673861940599,0.097479100134202,0.0974791001342019,0.0871487005083254,0.0871487005083257,0.087146411302979,0.087146411302979,0.0512837417274613,0.0512837417274613
510,0.112209069818204,0.115531528236705,0.0311514126358186,0.118472662215538,0.118472662215538,0.179249722605439,0.269813641792373,0.152087368553674,0.0330616708792595,0.0354162305653132,0.223391418866468,0.0457520514283726,0.0457520514283725,0.123999714918047,0.217870126170591,0.217870126170591,0.287490045313106,0.201244409591928,0.0423804110104861,0.100843987557863,0.100843987557863,0.119409665001441,0.11940966500144,0.0641186379508017,0.12657812674824,0.13591388895036,0.13591388895036,0.049686010071474,0.0302706315678131,0.0302706315678132,0.0428388143606178,0.0428388143606178,0.0468713631757251,0.0468713631757251,0.0343206765698241,0.0343206765698239,0.0969839913638839,0.0969839913638837,0.203032814248851,0.0365971264297152,0.0365971264297155,0.0974181528340767,0.0974181528340766,0.0870807975829929,0.087080797582993,0.0870785223919252,0.0870785223919251,0.0512024996683435,0.0512024996683435
511,0.112140543708208,0.115466683523489,0.0310768970440958,0.118421646579706,0.118421646579706,0.179270021984827,0.269970002819259,0.152071537719325,0.0329856738558086,0.0353404070967957,0.223474257289175,0.045669213329536,0.0456692133295358,0.12395045568216,0.217944591822431,0.217944591822431,0.287683950165768,0.201301045041731,0.0423016972512755,0.100784512722554,0.100784512722554,0.11935581612253,0.11935581612253,0.0640319954198896,0.126531720717428,0.135880235317226,0.135880235317225,0.0496051392028828,0.0301966447956591,0.0301966447956592,0.0427600080389523,0.0427600080389523,0.0467883891488773,0.0467883891488773,0.0342438119096927,0.0342438119096925,0.0969228031895643,0.0969228031895641,0.203092100788465,0.0365206949595502,0.0365206949595505,0.0973573585841908,0.0973573585841907,0.0870130751342597,0.08701307513426,0.0870108139117717,0.0870108139117716,0.0511215378496184,0.0511215378496184
512,0.112072187766868,0.115401996890896,0.0310026988852691,0.118370749449085,0.118370749449086,0.179290283547049,0.270126115676098,0.152055739122805,0.0329099933705199,0.0352648875168563,0.223556955887476,0.045586679269015,0.0455866792690149,0.123901309313404,0.218018930478574,0.218018930478574,0.287877554382168,0.201357581869127,0.0422232764215444,0.100725184991867,0.100725184991867,0.119302093246974,0.119302093246974,0.063945630707855,0.12648541974203,0.135846654352131,0.135846654352131,0.0495245505352747,0.0301229770951659,0.0301229770951659,0.0426814935884751,0.0426814935884751,0.0467057163012978,0.0467057163012978,0.0341672627994718,0.0341672627994716,0.0968617687694527,0.0968617687694525,0.20315128450826,0.0364445657603573,0.0364445657603576,0.0972967167074983,0.0972967167074982,0.0869455323391422,0.0869455323391424,0.0869432850397625,0.0869432850397625,0.0510408547818607,0.0510408547818607
513,0.112004001247527,0.115337467651811,0.0309288162192798,0.118319970320716,0.118319970320716,0.179310507435955,0.270281981200886,0.152039972635876,0.0328346275188511,0.035189670043904,0.223639515162756,0.0455044475671979,0.0455044475671978,0.123852275336088,0.218093142597719,0.218093142597719,0.288070858942466,0.201414020435355,0.0421451468870569,0.100666003720856,0.100666003720856,0.119248495838114,0.119248495838113,0.0638595424063369,0.126439223381918,0.135813145757612,0.135813145757612,0.0494442425587985,0.0300496264995559,0.0300496264995559,0.0426032693859618,0.0426032693859618,0.046623342981106,0.046623342981106,0.0340910273594369,0.0340910273594367,0.0968008874237846,0.0968008874237844,0.203210365783908,0.036368737075963,0.0363687370759633,0.0972362265312448,0.0972362265312448,0.0868781683799775,0.0868781683799777,0.0868759349584618,0.0868759349584617,0.0509604489863356,0.0509604489863356
514,0.111935983408227,0.115273095123419,0.0308552471214908,0.118269308694737,0.118269308694737,0.179330693794571,0.270437600227216,0.152024238131058,0.0327595744112208,0.0351147529100781,0.223721935613641,0.0454225165568557,0.0454225165568556,0.123803353277441,0.218167228636025,0.218167228636025,0.288263864821821,0.201470361099636,0.0420673070257193,0.100606968268636,0.100606968268636,0.119195023362604,0.119195023362604,0.0637737291167385,0.126393131199653,0.135779709237998,0.135779709237997,0.0493642137744856,0.0299765910577874,0.0299765910577874,0.0425253338202206,0.0425253338202206,0.0465412675485368,0.0465412675485368,0.0340151037245187,0.0340151037245186,0.0967401584770999,0.0967401584770996,0.203269344988986,0.0362932071636372,0.0362932071636375,0.0971758873869324,0.0971758873869323,0.08681098244438,0.0868109824443802,0.0868087628557086,0.0868087628557086,0.0508803189949022,0.0508803189949022
515,0.111868133511674,0.11520887862717,0.0307819896825367,0.118218764074366,0.118218764074366,0.179350842765106,0.270592973584315,0.152008535481624,0.0326848321728637,0.035040134361117,0.223804217736016,0.045340884583028,0.0453408845830279,0.123754542667589,0.218241189047131,0.218241189047131,0.288456572990433,0.201526604219187,0.0419897552274669,0.100548077998354,0.100548077998354,0.119141675290392,0.119141675290392,0.0636881894501423,0.126347142760467,0.135746344499393,0.135746344499393,0.0492844626941513,0.0299038688343996,0.0299038688343996,0.042447685291981,0.0424476852919811,0.0464594883758289,0.0464594883758289,0.0339394900441621,0.0339394900441619,0.0966795812582073,0.0966795812582071,0.20332822249499,0.0362179742939659,0.0362179742939662,0.0971156986102841,0.097115698610284,0.0867439737251966,0.0867439737251968,0.0867417679245735,0.0867417679245734,0.0508004633499178,0.0508004633499178
516,0.111800450825199,0.115144817488745,0.0307090420081739,0.11816833596587,0.11816833596587,0.179370954488951,0.270748102097068,0.151992864561591,0.0326103989436872,0.0349658126562287,0.22388636202305,0.0452595500029104,0.0452595500029103,0.123705843039529,0.218315024282179,0.218315024282179,0.288648984413572,0.201582750149236,0.0419124898941532,0.100489332277147,0.100489332277147,0.119088451094686,0.119088451094685,0.0636029220272243,0.126301257632239,0.135713051249668,0.135713051249668,0.0492049878402973,0.0298314579093596,0.0298314579093597,0.0423703222137835,0.0423703222137836,0.0463780038471152,0.0463780038471152,0.0338641844821862,0.0338641844821861,0.0966191551001493,0.0966191551001491,0.20338699867135,0.0361430367507249,0.0361430367507252,0.0970556595412095,0.0970556595412094,0.0866771414204632,0.0866771414204634,0.0866749493633144,0.0866749493633144,0.0507208806041436,0.0507208806041436
