"Xyleborus xylographus","Xyleborus obesus","Xyleborinus saxeseni","Coptoborus pseudotenuis","Xyleborus posticus","Ambrosiodmus obliquus","Xyleborus seriatus","Xyleborus affinis","mutillatus","Xyleborus ferrugineus","Ambrosiodmus rubricollis","Ambrosiodmus tachygraphus","Xylosandrus compactus","Xyleborus germanus","Euwallacea validus","Euwallacea fornicatus","Xyleborus glabratus","Xylosandrus crassiusculus","Sampsonius dampfi","Xylosandrus morigerus"
0.613669893154667,0.141560947390207,0.414132031414849,0.685376972613754,0.204955748979233,0.160235331427915,0.282608651234764,0.556894534501577,0.349073413503009,0.523190229902054,0.405679229364411,0.277740815621454,0.432609939748064,0.445438847756713,0.591384317468907,0.464199789767715,0.982585628030798,0.654666385266089,0.340885735635673,0.616379424923927
0.601273310235405,0.138738622757143,0.410076221623159,0.676946737070881,0.202127668959293,0.157499314272432,0.278697087623813,0.554410877632822,0.343871156123426,0.51968317614869,0.398254683784209,0.271396535968477,0.428213542385839,0.44190074293056,0.585650433363908,0.46003636511072,0.981407396035088,0.651667901185757,0.332845322078144,0.612232983892821
0.589010534435187,0.136021594781922,0.406117610321954,0.66858102486755,0.199387454730611,0.15485781401346,0.274900229220294,0.551976876417307,0.338814442861522,0.516248078323242,0.391031490300805,0.265274664540892,0.423920653238699,0.438442831265085,0.580014689285832,0.455965989523092,0.980178346207317,0.648720861906486,0.325067317940292,0.608158030988223
0.576892357137128,0.133404184628415,0.402252411148411,0.660283236025425,0.196730875753457,0.15230596408238,0.271212951668269,0.549590647300237,0.333897402027917,0.512882321240515,0.38400320093223,0.259365244371016,0.419727379436201,0.435062005042555,0.574474845335278,0.45198523480315,0.978897617423408,0.645823559147098,0.317542040089995,0.604152435832548
0.564928489124477,0.130881110287665,0.398477043608156,0.652056480793842,0.194153976016625,0.149839228386014,0.267630437108267,0.54725041256554,0.329114467330514,0.509583428446968,0.377163556759035,0.253658828543395,0.415630031025339,0.431755328609344,0.569028717961579,0.448090851082442,0.977564374091399,0.642974371164976,0.31026011239274,0.600214162112175
0.553127599039414,0.128447452769121,0.394788118666167,0.643903592923063,0.191653051732623,0.147453373607858,0.264148151279768,0.544954492484154,0.324460358654107,0.50634905250537,0.370506488031653,0.248146453587948,0.411625107384205,0.428520025971042,0.563674178974359,0.444279754769371,0.976177807187715,0.640171756834254,0.303212468703302,0.596341261942287
0.541497355614333,0.126098625670366,0.391182425572,0.63582714274556,0.189224631200711,0.145144444257851,0.260761822669557,0.542701298182478,0.319930064243131,0.503176966124161,0.364026113255294,0.242819613931882,0.407709284749567,0.425353469487885,0.558409154496359,0.440549017498212,0.974737135283339,0.637414250233346,0.296390353341598,0.592531870663051
0.530044472834777,0.123830347739816,0.387656919794329,0.627829450026028,0.186865456593441,0.142908740156893,0.257467423493706,0.540489325152668,0.315518824172499,0.500065054044002,0.357716737426224,0.237670237448647,0.403879404750194,0.422253169554933,0.553231623870613,0.436895855983819,0.973241605557684,0.634700455689276,0.289785319489193,0.588784202026795
0.518774757263905,0.121638618096156,0.384208711954411,0.619912596546137,0.184572467453563,0.140742796082673,0.254261152325989,0.538317147336298,0.311222115001761,0.497011305604514,0.351572849569258,0.232690662120999,0.400132463849869,0.419216765165398,0.54813961853322,0.43331762269369,0.971690494797896,0.632029043232548,0.283389225881344,0.585096543740293
0.507693156831216,0.119519693810548,0.380835057660717,0.612078438395031,0.182342785714982,0.138643363337983,0.25113941820724,0.536183411721302,0.307035635517154,0.494013807923221,0.34558911970541,0.227873613818735,0.396465603614646,0.416242015267605,0.543131220861331,0.429811797259117,0.970083110381311,0.629398744421726,0.277194232115865,0.581467253330134
