"Xyleborus affinis","Xyleborus xylographus","Euwallacea fornicatus","Xyleborinus saxeseni","mutillatus","Ambrosiodmus obliquus","Xyleborus glabratus","Xyleborus seriatus","Xyleborus germanus","Euwallacea validus","Xyleborus ferrugineus"
0.854024079909431,0.202851812519025,0.470505762481571,0.333243577004564,0.198903656741239,0.0996970312715496,0.803613886197785,0.182403334244502,0.365893676928482,0.414302906408114,0.569505224110649
0.852651055409145,0.199557260501244,0.46848842568542,0.331919320339626,0.197670969598244,0.0990306198983343,0.799629484441996,0.181417673466597,0.36485283144453,0.412256886924039,0.567802718388139
0.851278522280856,0.196329017424608,0.466488309522897,0.330608321605076,0.196453880510508,0.0983734814813152,0.795617535531783,0.180444030665434,0.363821593158928,0.410230292317096,0.566112303534758
0.849906517244044,0.193165647841694,0.464505194465933,0.3293103636471,0.195252092085406,0.0977254206096288,0.791578873941694,0.179482177167308,0.362799806941317,0.408222852803041,0.564433836896169
0.848535076374685,0.190065742733112,0.462538864701485,0.328025234290861,0.194065314491871,0.0970862473733115,0.78751434226449,0.178531890211745,0.361787321268231,0.406234303481289,0.562767178256124
0.847164235116496,0.18702791955654,0.460589108053291,0.326752726193188,0.192893265220459,0.0964557771699808,0.783424790507238,0.177592952758348,0.360783988113394,0.404264384227055,0.561112189780444
0.845794028291924,0.184050822242345,0.458655715905603,0.325492636700612,0.191735668852522,0.0958338305196463,0.779311075387123,0.176665153301265,0.359789662842144,0.402312839586276,0.559468735962639
0.84442449011288,0.1811331211406,0.456738483128823,0.324244767712529,0.190592256838095,0.0952202328872518,0.775174059628048,0.17574828569092,0.358804204109789,0.400379418673219,0.557836683571122
0.843055654191228,0.178273512923983,0.454837208006997,0.323008925549249,0.18946276728211,0.0946148145125755,0.771014611259044,0.174842148962673,0.357827473763729,0.398463875070725,0.556215901597954
0.841687553549047,0.175470720450745,0.452951692167111,0.321784920824751,0.188346944738571,0.0940174102471295,0.766833602915516,0.1739465471721,0.356859336749178,0.396565966732982,0.554606261209059
