"Family","Genus"
"Actinidiaceae","Actinidia"
"Actinidiaceae","Apatelia"
"Actinidiaceae","Clematoclethra"
"Actinidiaceae","Saurauia"
"Adelanthaceae","Adelocolia"
"Adelanthaceae","Calyptrocolea"
"Adelanthaceae","Pseudomarsupidium"
"Adelanthaceae","Wettsteinia"
"Adoxaceae","Adoxa"
"Adoxaceae","Oreinotinus"
"Adoxaceae","Sambucus"
"Adoxaceae","Sinadoxa"
"Adoxaceae","Viburnum"
"Aextoxicaceae","Aextoxicon"
"Aizoaceae","Acrodon"
"Aizoaceae","Acrosanthes"
"Aizoaceae","Aethephyllum"
"Aizoaceae","Agnirictus"
"Aizoaceae","Aizoanthemum"
"Aizoaceae","Aizoon"
"Aizoaceae","Aloinopsis"
"Aizoaceae","Amphibolia"
"Aizoaceae","Anisostigma"
"Aizoaceae","Antegibbaeum"
"Aizoaceae","Antimima"
"Aizoaceae","Apatesia"
"Aizoaceae","Arenifera"
"Aizoaceae","Argeta"
"Aizoaceae","Argyroderma"
"Aizoaceae","Aridaria"
"Aizoaceae","Astridia"
"Aizoaceae","Bergeranthus"
"Aizoaceae","Berresfordia"
"Aizoaceae","Bijlia"
"Aizoaceae","Braunsia"
"Aizoaceae","Brianhuntleya"
"Aizoaceae","Brownanthus"
"Aizoaceae","Calamophyllum"
"Aizoaceae","Callistigma"
"Aizoaceae","Carpanthea"
"Aizoaceae","Carpobrotus"
"Aizoaceae","Carpophyma"
"Aizoaceae","Carruanthophyllum"
"Aizoaceae","Carruanthus"
"Aizoaceae","Caryotophora"
"Aizoaceae","Cephalophyllum"
"Aizoaceae","Cerochlamys"
"Aizoaceae","Chasmatophyllum"
"Aizoaceae","Cheiridopsis"
"Aizoaceae","Circandra"
"Aizoaceae","Cleretum"
"Aizoaceae","Conicosia"
"Aizoaceae","Conophyllum"
"Aizoaceae","Conophytum"
"Aizoaceae","Corpuscularia"
"Aizoaceae","Crocanthus"
"Aizoaceae","Cryophytum"
"Aizoaceae","Cylindrophyllum"
"Aizoaceae","Cypselea"
"Aizoaceae","Deilanthe"
"Aizoaceae","Delosperma"
"Aizoaceae","Depacarpus"
"Aizoaceae","Derenbergia"
"Aizoaceae","Dicrocaulon"
"Aizoaceae","Didymaotus"
"Aizoaceae","Dinteranthus"
"Aizoaceae","Diplosoma"
"Aizoaceae","Disphyma"
"Aizoaceae","Dorotheanthus"
