"Sampsonius dampfi","Xylosandrus compactus","Xyleborus posticus","Xyleborus glabratus","Xyleborus seriatus","Xyleborus xylographus","Coptoborus pseudotenuis","Xyleborus ferrugineus","Ambrosiodmus obliquus","mutillatus","Xyleborus germanus"
0.938619168634652,0.595213713946598,0.393155572442445,0.993466373070456,0.376760098261227,0.838095961571843,0.95581244715375,0.940749987599766,0.287414315267854,0.449325220587333,0.566574373955915
0.935068114857219,0.591375091468341,0.38880748844679,0.993014328121217,0.373031687206391,0.830428209243359,0.953558153036202,0.939143181209144,0.283374278934525,0.444532781508968,0.564001812997254
0.931405780983888,0.587604785962279,0.384566137516284,0.992541530887588,0.369394724192241,0.822641159589376,0.951244591955672,0.93753008263845,0.279451010249689,0.439849136994697,0.561478953786103
0.927632666092559,0.58390065480566,0.380427421967366,0.992047511945041,0.365845565736261,0.814742064124842,0.948872017655053,0.93591094059162,0.275639427393638,0.435270477713734,0.55900397741528
0.923749406767603,0.580260654971879,0.376387459033861,0.991531804440249,0.362380770317814,0.806738264225808,0.946440721527643,0.934285996305851,0.271934742678916,0.430793175574528,0.556575163828331
0.919756775920788,0.576682836799721,0.37244256654392,0.990993944342528,0.358997084022269,0.798637166574844,0.943951032042986,0.932655483887726,0.268332441380935,0.426413772776027,0.554190884708949
0.915655681294803,0.573165338255338,0.368589249756116,0.990433470697928,0.355691427429214,0.790446219142528,0.941403314143321,0.931019630626877,0.264828262384993,0.422128971664129,0.551849597004117
0.911447163651219,0.569706379639819,0.364824189244288,0.989849925885869,0.352460883617782,0.782172887822446,0.938797968610671,0.929378657289145,0.261418180469199,0.417935625323264,0.549549837013887
0.907132394646298,0.566304258700502,0.361144229732799,0.989242855878213,0.349302687176976,0.773824633827578,0.936135431404708,0.927732778390986,0.258098390063112,0.413830728840135,0.547290214988947
0.902712674399625,0.562957346108781,0.357546369794494,0.988611810500642,0.346214214121826,0.765408891945669,0.933416172971718,0.926082202456677,0.254865290339731,0.409811411182857,0.545069410184114
0.89818942876215,0.559664081271191,0.354027752332955,0.987956343696213,0.343192972627432,0.756933049740493,0.930640697525114,0.924427132259754,0.251715471514013,0.405874927644328,0.542886166322058
0.89356420629166,0.556422968444069,0.350585655778822,0.987276013790933,0.340236594502781,0.748404427774857,0.927809542298063,0.922767765049922,0.248645702234818,0.402018652803523,0.540739287426807
