"Ambrosiodmus obliquus","Xyleborus glabratus","Xyleborus xylographus","Xyleborus germanus"
0.454121833900364,0.94430785971668,0.531954197994779,0.98313870652325
0.451082845254473,0.942784134931476,0.526134929601706,0.982825583717127
0.448081778561201,0.941239197194427,0.52037442293866,0.982510384523238
0.445117956981078,0.939673130606389,0.514672942926774,0.98219312241572
0.442190719030147,0.938086024045305,0.509030700096604,0.98187381072697
0.439299418169636,0.936477971114379,0.503447853177726,0.981552462651275
0.436443422407662,0.934849070088734,0.497924511619788,0.981229091248303
0.433622113912622,0.933199423860586,0.492460738043701,0.980903709446461
0.430834888637921,0.931529139882944,0.487056550621973,0.980576330046135
0.428081155957725,0.929838330111848,0.481711925387529,0.980246965722807
0.425360338313388,0.928127110947188,0.476426798470634,0.979915629030056
0.422671870870255,0.926395603172089,0.471201068263777,0.979582332402457
