"pd","t220","t96","t219","t138","t293","t117","t14","t176","t82","t38","t112","t228","t284","t193","t86","t250","t153","t168","t232","t8","t200","t252","t73","t202","t160","t218"
548,0.00907578944256992,0.0413560509527577,0.0392027922640385,0.00756220806048515,0.0307757882381174,0.0556082982858484,0.0390829070618248,0.0550709539995329,0.0079330715176006,0.0541894591845977,0.0330232037122676,0.0484144158320794,0.0650627628917855,0.0597071775454167,0.0582206200995623,0.0753784745003855,0.00890707569869941,0.00890707569869984,0.0329628747219725,0.0329628747219727,0.0388056426574545,0.0376716575959556,0.0413524995998303,0.0413524995998303,0.0384034366173608,0.0384034366173609
549,0.0090533366420987,0.0413235017904086,0.0391697742416285,0.00754232203141683,0.0307361002775014,0.0555825832084299,0.0390425465268954,0.0550446083828764,0.00791267889621646,0.0541628391463415,0.0329910402075881,0.0483854717917042,0.0650434913124378,0.0596839909724359,0.0581965806134551,0.0753660612304434,0.00888535455813581,0.00888535455813622,0.0329308811823953,0.0329308811823955,0.0387695935242641,0.0376328651198018,0.0413157136670867,0.0413157136670867,0.0383675844332757,0.0383675844332758
550,0.00903097951830117,0.0412910362022017,0.0391368428010843,0.00752252388180472,0.0306965338363827,0.0555569260047124,0.0390022991874752,0.0550183224612855,0.00789237518103495,0.0541362797589935,0.0329589653049928,0.0483565967089229,0.0650242600372917,0.0596608549285501,0.0581725940833389,0.075353672382095,0.00886372522811423,0.00886372522811465,0.032898975674706,0.0328989756747061,0.0387336419268881,0.0375941813929849,0.0412790257864726,0.0412790257864725,0.0383318294245138,0.038331829424514
551,0.00900871749342386,0.0412586538241781,0.0391039975607389,0.00750281306692526,0.0306570883272962,0.0555313264404087,0.0389621645249856,0.0549920959922251,0.00787215982627245,0.0541097807753977,0.0329269786023291,0.0483277902957872,0.0650050689093707,0.0596377692126794,0.0581486602972685,0.0753413078631564,0.00884218715728964,0.00884218715729007,0.0328671577996041,0.0328671577996043,0.0386977874276172,0.0375556059172889,0.041242435521875,0.0412424355218749,0.0382961711545112,0.0382961711545113
552,0.00898654999422362,0.0412263542946135,0.0390712381412887,0.00748318904639546,0.0306177631666564,0.0555057842826001,0.0389221420241445,0.0549659287345803,0.00785203229046169,0.0540833419498486,0.0328950796999863,0.0482990522660667,0.0649859177725922,0.0596147336249053,0.0581247790445277,0.0753289675819579,0.00882073979860357,0.008820739798604,0.0328354271603123,0.0328354271603125,0.0386620295914859,0.0375171381976655,0.0412059424398974,0.0412059424398973,0.0382606091894421,0.0382606091894422
553,0.00896447645192455,0.041194137254001,0.0390385641657745,0.00746365128413067,0.0305785577747248,0.0554802992997269,0.0388822311729393,0.0549398204486463,0.00783199203641016,0.0540569630380804,0.0328632682008753,0.0482703823352361,0.0649668064717608,0.0595917479664619,0.0581009501156201,0.07531665144734,0.00879938260924317,0.00879938260924359,0.0328037833625553,0.0328037833625554,0.0386263679862503,0.0374787777422082,0.0411695461098382,0.0411695461098381,0.0382251430981977,0.0382251430981978
554,0.00894249630217526,0.0411620023450333,0.0390059752595633,0.00744419924830289,0.0305394715755779,0.0554548712615773,0.0388424314626006,0.054913770896117,0.0078120385311587,0.0540306437972556,0.0328315437104078,0.0482417802204614,0.0649477348525613,0.0595688120397276,0.0580771733022594,0.0753043593686498,0.00877811505060087,0.0087781150506013,0.0327722260145401,0.0327722260145403,0.0385908021823663,0.0374405240621268,0.0411332461036687,0.0411332461036686,0.0381897724523637,0.0381897724523638
555,0.00892060898500675,0.0411299492125856,0.0389734710503293,0.00742483241129939,0.0305005039970756,0.0554294999392776,0.0388027423875759,0.0548877798400748,0.00779217124594081,0.0540043839859544,0.0327999058364762,0.0482132456405875,0.0649287027615528,0.0595459256482159,0.0580534483973608,0.075292091255737,0.00875693658823439,0.00875693658823482,0.0327407547269358,0.032740754726936,0.0385553317529679,0.0374023766717223,0.0410970419960124,0.0410970419960123,0.0381544968261992,0.0381544968261993
556,0.00889881394479077,0.0410979775036981,0.0389410511680362,0.00740555024968204,0.0304616544708293,0.0554041851052817,0.0387631634455032,0.0548618470449799,0.00777238965614231,0.0539781833641636,0.0327683541894338,0.0481847783161249,0.0649097100461615,0.0595230885965674,0.0580297751950317,0.0752798470189506,0.00873584669182726,0.00873584669182768,0.0327093691128538,0.032709369112854,0.0385199562738456,0.0373643350883614,0.0410609333641233,0.0410609333641232,0.0381193157966147,0.0381193157966148
557,0.00887711063019843,0.041066086867559,0.0389087152449184,0.00738635224414689,0.030422922432171,0.0553789265333613,0.038723694137186,0.0548359722766596,0.00775269324126143,0.0539520416932663,0.032736888382075,0.0481563779692368,0.0648907565546748,0.0595003006905408,0.0580061534905625,0.075267626569135,0.00871484483514972,0.00871484483515012,0.0326780687878281,0.0326780687878283,0.0384846753234256,0.0373263988324526,0.0410249197878653,0.0410249197878653,0.0380842289431516,0.0380842289431517
558,0.00885549849415957,0.0410342769554881,0.0388764629154637,0.00736723787948436,0.0303843073201222,0.0553537239985958,0.0386843339665671,0.0548101553022984,0.00773308148486944,0.0539259587360311,0.0327055080296154,0.0481280443237267,0.0648718421362345,0.0594775617370051,0.0579825830804181,0.0752554298176263,0.00869393049602009,0.00869393049602051,0.0326468533697959,0.032646853369796,0.0384494884827485,0.0372885674274208,0.0409890008496916,0.0409890008496916,0.0380492358479607,0.0380492358479608
559,0.00883397699382238,0.0410025474209194,0.0388442938163949,0.00734820664453979,0.0303458085773637,0.0553285772773624,0.0386450824407038,0.0547843958904272,0.00771355387457165,0.0538999342566013,0.0326742127496729,0.0480997771050253,0.0648529666408308,0.0594548715439306,0.0579590637622287,0.075243256676249,0.00867310315626663,0.00867310315626705,0.0326157224790783,0.0326157224790785,0.0384143953354484,0.0372508403996837,0.040953176134624,0.0409531761346239,0.0380143360957815,0.0380143360957816
560,0.00881254559051358,0.0409708979193849,0.0388122075866529,0.00732925803217446,0.030307425650205,0.0553034861473267,0.0386059390697425,0.0547586938109136,0.00769410990196889,0.0538739680204852,0.0326430021622478,0.0480715760401789,0.0648341299192958,0.0594322299203814,0.0579355953347814,0.0752311070573123,0.00865236230168973,0.00865236230169015,0.0325846757383615,0.0325846757383617,0.0383793954677325,0.0372132172786273,0.0409174452302322,0.0409174452302321,0.0379795292739218,0.0379795292739219
561,0.00879120374969899,0.0409393281084984,0.0387802038673786,0.00731039153922711,0.0302691579885546,0.0552784503874321,0.0385669033668944,0.0547330488349516,0.00767474906261941,0.053848059794545,0.0326118758897047,0.048043440857836,0.0648153318232973,0.0594096366765067,0.0579121775980113,0.0752189808736064,0.00863170742202455,0.00863170742202496,0.0325537127726775,0.0325537127726777,0.0383444884683607,0.0371756975965826,0.0408818077266147,0.0408818077266146,0.0379448149722371,0.0379448149722372
562,0.00876995094094454,0.0409078376479389,0.0387482823018961,0.00729160666647584,0.03023100504589,0.0552534697778914,0.0385279748484105,0.0547074607350516,0.00765547085600124,0.0538222093469873,0.0325808335567526,0.0480153712882359,0.0647965722053327,0.0593870916235329,0.0578888103529931,0.0752068780383994,0.00861113801090412,0.00861113801090454,0.0325228332093858,0.032522833209386,0.0383096739286251,0.0371382808888015,0.0408462632163778,0.0408462632163778,0.0379101927831107,0.0379101927831108
563,0.00874878663787776,0.0408764261994348,0.0387164425356952,0.00727290291860039,0.030192966279229,0.0552285441001762,0.0384891530335579,0.0546819292850306,0.00763627478547494,0.0537964164473526,0.0325498747904272,0.0479873670631962,0.0647778509187233,0.0593645945737556,0.0578654934019323,0.0751947984654335,0.00859065356582282,0.00859065356582323,0.0324920366781545,0.0324920366781547,0.0382749514423305,0.0371009666934338,0.0408108112946167,0.0408108112946166,0.0378756623014333,0.0378756623014334
564,0.00872771031814964,0.0408450934267478,0.0386846842164151,0.007254279804145,0.0301550411491,0.0552036731370082,0.0384504374445949,0.0546564542600024,0.00761716035824671,0.053770680866505,0.0325189992200717,0.047959427916101,0.0647591678176072,0.0593421453405318,0.0578422265481574,0.0751827420689216,0.00857025358810019,0.0085702535881006,0.0324613228109424,0.0324613228109426,0.038240320605774,0.0370637545515039,0.0407754515588954,0.0407754515588953,0.0378412231245837,0.0378412231245838
