"pd","t225","t140","t175","t27","t172","t86","t275","t219","t66","t158","t231","t8","t59","t252","t90","t105","t125","t226","t242","t136","t238","t114"
520,0.0129609185553233,0.322481206071856,0.00496247615911979,0.343006305606797,0.00475232793401227,0.00344259421120837,0.00423627483382426,0.00423627483382426,0.00482597677598141,0.00513172992097638,0.2846316795208,0.284631679520799,0.00501410915637194,0.00501410915637194,0.00516139021965946,0.00516139021965946,0.00346735482454139,0.00346735482454139,0.00487964260971177,0.00487964260971177,0.00484883338409869,0.00484883338409867
521,0.0129115664430394,0.322422680568964,0.00494226343869711,0.342971353909091,0.00473271824500571,0.00342662876280394,0.00421815348291371,0.00421815348291371,0.00480614408696253,0.0051110173248606,0.284537881887212,0.284537881887211,0.00499373846848984,0.00499373846848984,0.00514058885384969,0.00514058885384969,0.0034512995963777,0.0034512995963777,0.00485964591641358,0.00485964591641358,0.00482892946503218,0.00482892946503216
522,0.0128624937252455,0.322364272628478,0.0049221710895259,0.342936470802224,0.00471322638860707,0.00341076744711374,0.00420014378283128,0.00420014378283128,0.00478643023458834,0.0050904273037503,0.284444282336972,0.284444282336971,0.00497348887733266,0.00497348887733266,0.0051199104621658,0.0051199104621658,0.00343534896940485,0.00343534896940485,0.00483976880814392,0.00483976880814392,0.00480914471507888,0.00480914471507885
523,0.0128136983089886,0.322305981791955,0.00490219816994708,0.342901656021202,0.00469385143662598,0.00339500939010645,0.00418224483691871,0.00418224483691871,0.00476683428479902,0.0050699589033826,0.28435088008225,0.28435088008225,0.00495335943686543,0.00495335943686543,0.00509935408799496,0.00509935408799496,0.00341950206643233,0.00341950206643233,0.00482001034638192,0.00482001034638192,0.00478947819813941,0.00478947819813939
524,0.0127651781207734,0.322247807603608,0.00488234374741316,0.342866909302556,0.0046745924699043,0.00337935372670977,0.00416445575738226,0.00416445575738226,0.00474735531260776,0.00504961117869154,0.284257674339828,0.284257674339827,0.00493334921019673,0.00493334921019673,0.00507891878393795,0.00507891878393795,0.00340375801925446,0.00340375801925446,0.00480036960171176,0.00480036960171176,0.00476992898720271,0.00476992898720269
525,0.0127169311063474,0.322189749610283,0.00486260689838342,0.342832230384335,0.00465544857821164,0.0033637996007021,0.00414677566518885,0.00414677566518885,0.00472799240199608,0.00502938319370262,0.284164664331061,0.28416466433106,0.00491345726947365,0.00491345726947365,0.00505860361170346,0.00505860361170346,0.00338811596854181,0.00338811596854181,0.00478084565371766,0.00478084565371766,0.00475049616424105,0.00475049616424104
526,0.0126689552304874,0.322131807361443,0.00484298670822029,0.342797619006088,0.00463641886014222,0.00334834616460572,0.00412920368996344,0.00412920368996344,0.00470874464581029,0.00500927402142854,0.284071849281843,0.284071849281842,0.00489368269577793,0.00489368269577793,0.00503840764200384,0.00503840764200384,0.0033725750637341,0.0033725750637341,0.00476143759088014,0.00476143759088014,0.00473117882010652,0.0047311788201065
527,0.0126212484767897,0.322073980409141,0.00482348227108723,0.342763074908858,0.00461750242301312,0.00333299257958139,0.00411173896988788,0.00411173896988789,0.00468961114565952,0.00498928274376656,0.283979228422575,0.283979228422574,0.00487402457902357,0.00487402457902357,0.00501832995445224,0.00501832995445224,0.00335713446293467,0.00335713446293467,0.00474214451047374,0.00474214451047374,0.00471197605442882,0.0047119760544288
528,0.0125738088474628,0.322016268308007,0.004804092689848,0.342728597835167,0.00459869838276397,0.00331773801532452,0.00409438065160118,0.00409438065160118,0.00467059101181502,0.00496940845139702,0.283886800988126,0.283886800988125,0.00485448201785579,0.00485448201785579,0.00499836963746101,0.00499836963746101,0.00334179333280631,0.00334179333280631,0.0047229655184661,0.0047229655184661,0.00469288697551451,0.00469288697551448
529,0.0125266343631226,0.321958670615223,0.00478481707596717,0.342694187529006,0.0045800058638579,0.00330258164996274,0.00407712789010098,0.00407712789010098,0.00465168336311085,0.00494965024368334,0.283794566217804,0.283794566217803,0.00483505411955134,0.00483505411955134,0.00497852578814162,0.00497852578814162,0.00332655084846862,0.00332655084846862,0.00470389972941844,0.00470389972941844,0.00467391070024752,0.00467391070024751
