"Coptoborus pseudotenuis","Euwallacea fornicatus","Ambrosiodmus tachygraphus","Xyleborus affinis"
0.407707523872812,0.589309314630426,0.319823836634346,0.978366114444729
0.404676717227831,0.587625625633589,0.316189395681664,0.978064360075136
0.401675286254435,0.5859522411963,0.312603656675434,0.977760748343682
0.398702956675084,0.584289061999811,0.309066039162984,0.977455284098248
0.395759454404406,0.582635990066514,0.305575961972501,0.977147972192814
0.39284450568403,0.580992928735986,0.30213284372764,0.976838817487484
0.389957837210284,0.579359782641603,0.298736103331926,0.976527824848506
0.387099176255009,0.577736457687666,0.295385160424191,0.97621499914829
0.384268250779806,0.576122861027056,0.292079435806274,0.975900345265425
0.38146478954396,0.574518901039385,0.288818351844156,0.975583868084693
0.378688522206307,0.572924487309638,0.285601332843679,0.975265572497072
0.375939179421298,0.571339530607282,0.282427805401971,0.974945463399747
0.3732164929295,0.569763942865848,0.279297198735663,0.974623545696114
0.370520195642764,0.568197637162948,0.276208944986927,0.974299824295778
0.367850021724288,0.566640527700738,0.273162479508377,0.973974304114557
0.365205706663791,0.565092529786798,0.270157241127788,0.973646990074468
0.362586987348007,0.563553559815435,0.267192672393605,0.973317887103733
0.359993602126696,0.56202353524937,0.264268219802132,0.972987000136759
0.357425290874376,0.560502374601838,0.26138333400731,0.972654334114135
0.354881795047947,0.558989997419051,0.258537470013903,0.972319893982612
0.352362857740401,0.557486324263039,0.255730087354948,0.971983684695092
0.349868223730783,0.555991276694852,0.252960650254216,0.971645711210609
0.347397639530575,0.554504777258111,0.250228627774483,0.97130597849431
0.34495085342665,0.553026749462904,0.247533493952292,0.970964491517429
0.34252761552097,0.551557117770015,0.244874727919958,0.970621255257269
0.340127677767153,0.550095807575474,0.242251814015436,0.970276274697173
0.337750794004081,0.548642745195433,0.239664241880736,0.969929554826499
0.335396719986642,0.547197857851338,0.237111506549463,0.969581100640587
0.33306521341379,0.545761073655415,0.234593108524116,0.969230917140732
0.330756033954005,0.54433232159644,0.23210855384367,0.968879009334148
0.328468943268293,0.542911531525799,0.22965735414201,0.968525382233937
0.326203705030852,0.541498634143829,0.227239026697718,0.968170040859052
0.323960084947491,0.540093560986425,0.224853094475718,0.967812990234257
0.321737850771934,0.53869624441192,0.222499086161247,0.967454235390093
0.31953677232009,0.537306617588217,0.220176536186599,0.967093781362832
0.317356621482411,0.535924614480183,0.217884984751081,0.966731633194442
0.315197172234414,0.534550169837275,0.215623977834584,0.966367795932537
0.313058200645462,0.533183219181424,0.213393067205165,0.966002274630336
0.310939484885898,0.531823698795141,0.211191810421011,0.965635074346618
0.308840805232615,0.530471545709861,0.209019770827142,0.965266200145673
0.306761944073129,0.529126697694501,0.206876517547189,0.964895657097255
0.304702685908251,0.527789093244251,0.204761625470569,0.964523450276531
0.302662817353414,0.526458671569563,0.20267467523537,0.964149584764031
0.300642127138743,0.52513537258536,0.200615253207223,0.963774065645598
0.298640406107915,0.523819136900445,0.198582951454457,0.963396898012334
0.296657447215898,0.522509905807109,0.196577367719781,0.963018086960543
0.294693045525604,0.521207621270933,0.194598105388753,0.962637637591681
0.292746998203545,0.51991222592078,0.192644773455271,0.962255555012297
0.290819104514517,0.518623663038976,0.190716986484314,0.961871844333978
0.288909165815394,0.517341876551667,0.188814364572137,0.961486510673287
0.287016985548072,0.51606681101936,0.186936533304127,0.96109955915171
0.285142369231605,0.51479841162763,0.185083123710519,0.960710994895592
0.283285124453599,0.513536624178006,0.183253772220134,0.960320823036078
0.28144506086089,0.512281395079012,0.18144812061233,0.95992904870905
0.279621990149569,0.51103267133738,0.179665815967316,0.959535677055068
0.277815726054376,0.509790400549413,0.177906510614988,0.959140713219305
0.276026084337518,0.508554530892514,0.176169862082423,0.958744162351481
0.274252882776942,0.507325011116853,0.17445553304018,0.958346029605801
0.272495941154097,0.506101790537194,0.172763191247529,0.957946320140891
0.27075508124123,0.504884819024862,0.171092509496727,0.95754503911973
0.269030126788233,0.503674046999852,0.169443165556463,0.957142191709581
0.267320903509088,0.50246942542308,0.167814842114575,0.95673778308193
0.265627239067933,0.501270905788766,0.166207226720142,0.956331818412412
0.263948963064775,0.500078440116954,0.164620011725044,0.955924302880744
0.262285907020882,0.498891980946158,0.163052894225084,0.955515241670658
0.260637904363881,0.497711481326141,0.161505576000754,0.95510463996983
0.259004790412577,0.496536894810816,0.159977763457719,0.954692502969808
0.257386402361537,0.495368175451268,0.158469167567108,0.954278835865945
0.255782579265436,0.494205277788896,0.15697950380566,0.953863643857321
0.254193162023203,0.493048156848678,0.155508492095811,0.953446932146679
0.252617993361991,0.491896768132542,0.154055856745766,0.953028705940348
0.251056917820966,0.490751067612854,0.152621326389625,0.95260897044817
0.249509781734971,0.489611011726021,0.15120463392761,0.952187730883428
0.247976433218049,0.488476557366189,0.149805516466442,0.951764992462773
0.246456722146853,0.487347661879062,0.148423715259916,0.951340760406148
0.244950500143967,0.486224283055812,0.147058975649713,0.950915039936714
0.243457620561149,0.485106379127097,0.145711047006499,0.950487836280775
0.241977938462497,0.483993908757179,0.144379682671333,0.950059154667705
0.240511310607572,0.482886831038137,0.143064639897429,0.949629000329867
0.239057595434476,0.481785105484171,0.141765679792294,0.949197378502543
0.237616653042906,0.480688692026012,0.140482567260287,0.948764294423854
0.236188345177186,0.479597551005414,0.139215070945608,0.948329753334683
0.234772535209303,0.478511643169733,0.137962963175743,0.9478937604786
